pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
769007,Odisha,Sundargarh,4248,5067,414,3708,396,180,0
769008,Odisha,Sundargarh,1710,2277,162,1188,135,63,9
769009,Odisha,Sundargarh,2673,3753,135,1710,243,72,0
769010,Odisha,Sundargarh,162,414,18,348,36,9,0
769011,Odisha,Sundargarh,16,34,6,39,18,0,0
769012,Odisha,Sundargarh,9765,13743,801,7677,639,216,0
769013,Odisha,Sundargarh,4104,5994,414,2844,387,63,0
769014,Odisha,Sundargarh,2673,5067,261,2151,288,45,0
769015,Odisha,Sundargarh,6021,7236,720,4950,531,126,0
769016,Odisha,Sundargarh,3060,4005,333,2016,171,99,0
769042,Odisha,Sundargarh,5661,9054,576,5805,684,117,0
769043,Odisha,Sundergarh,2256,3604,172,1200,136,16,8
770001,Odisha,Sundargarh,7680,6000,1020,7500,441,162,0
770002,Odisha,Sundargarh,8469,8649,1071,8172,693,90,0
770011,Odisha,Sundargarh,3498,3498,312,2322,576,45,0
770012,Odisha,Sundargarh,7656,8370,1528,8864,1008,192,0
770013,Odisha,Sundargarh,2226,1950,208,1376,216,42,0
770014,Odisha,Sundargarh,5944,5432,744,5238,474,30,0
770015,Odisha,Sundargarh,15606,16362,1674,11277,1107,153,0
770016,Odisha,Sundargarh,11928,10920,1776,9684,1359,117,0
770017,Odisha,Sundargarh,12684,11384,2352,17928,1446,108,0
770018,Odisha,Sundargarh,6500,5384,1356,9288,714,96,6
770019,Odisha,Sundargarh,2946,2724,330,2418,369,27,0
770020,Odisha,Sundargarh,6867,6030,1125,7101,540,36,0
770021,Odisha,Sundargarh,1396,1276,180,1566,216,42,0
770022,Odisha,Sundargarh,5022,5712,324,2980,342,48,0
770023,Odisha,Sundargarh,3414,2370,408,2072,216,18,0
770024,Odisha,Sundargarh,2116,2320,480,5466,354,54,0
770031,Odisha,Sundargarh,2928,4104,642,4152,288,90,0
770032,Odisha,Sundargarh,8046,11097,558,5463,414,54,0
770033,Odisha,Sundargarh,23157,34542,1908,18492,2484,204,0
770034,Odisha,Sundargarh,5124,4578,484,3900,390,60,0
770035,Odisha,Sundargarh,18396,18396,1854,14193,963,135,0
770036,Odisha,Sundargarh,16551,25389,1809,16362,1206,342,117
770037,Odisha,Sundergarh,9388,16864,1448,9632,876,148,8
770038,Odisha,Sundergarh,1596,1890,113,954,154,14,0
770039,Odisha,Sundargarh,5856,6738,552,3508,492,42,0
770040,Odisha,Sundergarh,4710,5142,594,4300,896,292,0
770041,Odisha,Sundergarh,294,398,39,271,18,5,0
770042,Odisha,Sundergarh,170,190,6,53,14,8,0
770043,Odisha,Sundergarh,739,1139,244,1646,158,28,0
770044,Odisha,Sundergarh,1127,1097,204,1474,104,38,0
770046,Odisha,Sundargarh,976,1080,144,456,72,8,0
